Shipment ID,Booking Date,Departure Date,Arrival Date,Origin Port,Destination Port,Origin Country,Destination Country,Company Name,Carrier Name,Vessel Name,Vessel Type,TEU,Freight Revenue (USD),Freight Cost (USD),Profit Margin (%),Delay (Days),Is Transshipment,Handling Port,Port Handling Cost (USD),Container Type,Container Count
NSHP0020,2025-05-05,2025-05-07,2025-05-26,LIS,BCN,Portugal,Spain,Atlas Maritime,NYK Line,ZIM Horizon,Mother Vessel,89,25469.38,22059.53,13.39,4,Yes,SAV,9530.9,40’HC,42
NSHP0021,2025-04-06,2025-04-09,2025-04-23,MNL,DOH,Philippines,Qatar,Neptune Freight,Evergreen,Yang Ming Glory,Mother Vessel,94,24929.9,20181.81,19.05,2,Yes,LIS,10763.23,40’HC,52
NSHP0022,2025-05-27,2025-05-30,2025-06-12,DUR,TOK,South Africa,Japan,Atlas Maritime,Yang Ming,Yang Ming Glory,Barge,77,23111.77,18663.12,19.25,3,Yes,IST,4165.38,40’RF,36
NSHP0023,2025-05-07,2025-05-11,2025-05-27,BCN,KIX,Spain,Japan,AnchorTrade,NYK Line,Ever Hope,Barge,112,28258.74,20798.42,26.4,-1,Yes,DOH,9664.69,20’GP,27
NSHP0024,2025-04-07,2025-04-09,2025-04-17,SAV,TOK,USA,Japan,LogiWorld,Evergreen,Neptune Star,Feeder,19,4634.15,3990.69,13.89,2,Yes,KIX,4925.54,40’HC,40
NSHP0025,2025-06-15,2025-06-17,2025-07-04,DUR,DOH,South Africa,Qatar,OceanXpress,Yang Ming,Neptune Star,Mother Vessel,85,19462.14,13382.33,31.24,4,No,,0,40’RF,52
NSHP0026,2025-06-25,2025-06-27,2025-07-11,TOK,SYD,Japan,Australia,OceanXpress,NYK Line,Ever Hope,Barge,43,11819.73,8414.34,28.81,5,No,,0,40’RF,9
NSHP0027,2025-04-09,2025-04-12,2025-05-04,IST,TOK,Turkey,Japan,Neptune Freight,NYK Line,ZIM Horizon,Barge,97,21199.64,18146.07,14.4,5,No,,0,40’HC,24
NSHP0028,2025-06-04,2025-06-05,2025-06-24,DOH,LIS,Qatar,Portugal,OceanXpress,NYK Line,Neptune Star,Mother Vessel,62,16033.45,12611.39,21.34,5,No,,0,40’HC,51
NSHP0029,2025-05-09,2025-05-12,2025-05-23,KIX,LIS,Japan,Portugal,Neptune Freight,Evergreen,Yang Ming Glory,Mother Vessel,81,23260.48,19932.56,14.31,2,No,,0,40’RF,28
NSHP0030,2025-05-13,2025-05-14,2025-06-03,KIX,MNL,Japan,Philippines,Atlas Maritime,COSCO,ZIM Horizon,Feeder,88,25893.3,18874.36,27.11,5,Yes,DOH,7949.11,40’HC,50
NSHP0031,2025-05-04,2025-05-08,2025-05-21,DOH,IST,Qatar,Turkey,Neptune Freight,Yang Ming,Yang Ming Glory,Mother Vessel,48,13513.25,10521.11,22.14,5,Yes,DUR,8129.67,20’GP,30
NSHP0032,2025-06-10,2025-06-14,2025-06-20,DUR,KIX,South Africa,Japan,LogiWorld,COSCO,ZIM Horizon,Mother Vessel,21,6327.2,4961.93,21.58,-1,Yes,MNL,10761.57,40’RF,15
NSHP0033,2025-04-07,2025-04-10,2025-04-26,TOK,SYD,Japan,Australia,Atlas Maritime,Evergreen,Neptune Star,Mother Vessel,73,14603.75,12389.1,15.16,4,Yes,BCN,6260.91,40’RF,19
NSHP0034,2025-04-19,2025-04-21,2025-05-04,KIX,SYD,Japan,Australia,LogiWorld,Evergreen,Neptune Star,Barge,31,8246.84,6562.03,20.43,0,No,,0,40’HC,38
NSHP0035,2025-04-11,2025-04-13,2025-04-24,SYD,LIS,Australia,Portugal,OceanXpress,NYK Line,Atlas Pioneer,Barge,15,4016.04,2840.26,29.28,5,No,,0,40’HC,16
NSHP0036,2025-04-27,2025-04-28,2025-05-11,KIX,IST,Japan,Turkey,Neptune Freight,Yang Ming,Yang Ming Glory,Mother Vessel,73,20578.44,16198.63,21.28,3,No,,0,40’HC,51
NSHP0037,2025-05-01,2025-05-03,2025-05-17,SYD,IST,Australia,Turkey,OceanXpress,NYK Line,ZIM Horizon,Barge,31,6496.57,4255.51,34.5,5,Yes,BCN,4905.82,40’RF,58
NSHP0038,2025-06-02,2025-06-03,2025-06-19,SAV,TOK,USA,Japan,Atlas Maritime,NYK Line,Ever Hope,Feeder,21,5807.86,4331.84,25.41,0,No,,0,20’GP,43
NSHP0039,2025-05-22,2025-05-23,2025-06-12,TOK,DUR,Japan,South Africa,AnchorTrade,Evergreen,ZIM Horizon,Feeder,49,13092.39,10620.12,18.88,4,No,,0,20’GP,40
NSHP0040,2025-04-20,2025-04-22,2025-05-13,BCN,DOH,Spain,Qatar,OceanXpress,COSCO,Yang Ming Glory,Feeder,81,25615.18,18758.56,26.77,3,No,,0,40’HC,18
NSHP0041,2025-04-01,2025-04-02,2025-04-18,MNL,DUR,Philippines,South Africa,OceanXpress,Yang Ming,Ever Hope,Mother Vessel,29,8611.04,6922.2,19.61,0,Yes,BCN,9530.69,20’GP,54
NSHP0042,2025-05-02,2025-05-03,2025-05-11,KIX,DUR,Japan,South Africa,OceanXpress,Evergreen,Neptune Star,Feeder,52,11982.36,9653.67,19.43,0,No,,0,40’RF,15
NSHP0043,2025-05-15,2025-05-18,2025-06-04,IST,LIS,Turkey,Portugal,Atlas Maritime,NYK Line,Yang Ming Glory,Mother Vessel,62,18233.89,12618.95,30.79,0,No,,0,40’HC,37
NSHP0044,2025-04-23,2025-04-24,2025-05-02,IST,BCN,Turkey,Spain,LogiWorld,Yang Ming,Atlas Pioneer,Feeder,68,20914.88,15916.54,23.9,0,No,,0,20’GP,47
NSHP0045,2025-05-04,2025-05-08,2025-05-21,IST,DOH,Turkey,Qatar,AnchorTrade,Evergreen,Yang Ming Glory,Barge,23,4982.39,3598.66,27.77,0,Yes,DUR,6613.92,40’RF,52
NSHP0046,2025-05-22,2025-05-26,2025-06-07,SYD,DOH,Australia,Qatar,OceanXpress,NYK Line,ZIM Horizon,Feeder,93,17450.45,13925.14,20.2,4,Yes,DOH,10307.07,40’HC,18
NSHP0047,2025-04-17,2025-04-19,2025-05-08,DUR,KIX,South Africa,Japan,AnchorTrade,NYK Line,Neptune Star,Mother Vessel,63,14896.9,10488.16,29.6,5,No,,0,40’HC,59
NSHP0048,2025-04-16,2025-04-17,2025-04-23,MNL,DUR,Philippines,South Africa,AnchorTrade,COSCO,Ever Hope,Barge,67,12396.1,9623,22.37,-1,Yes,SAV,11587.52,40’RF,27
NSHP0049,2025-05-27,2025-05-28,2025-06-05,MNL,DUR,Philippines,South Africa,Atlas Maritime,NYK Line,Neptune Star,Feeder,57,14730,11674.18,20.75,-1,No,,0,40’RF,50
NSHP0050,2025-05-12,2025-05-15,2025-06-02,SYD,TOK,Australia,Japan,LogiWorld,Evergreen,ZIM Horizon,Barge,62,17254.19,11396.89,33.95,4,Yes,MNL,2373.03,40’RF,55
NSHP0051,2025-04-28,2025-05-02,2025-05-10,SYD,KIX,Australia,Japan,AnchorTrade,Evergreen,Yang Ming Glory,Mother Vessel,120,34727.86,28298.39,18.51,-1,Yes,LIS,1320.8,40’RF,51
NSHP0052,2025-04-16,2025-04-17,2025-05-06,SAV,DOH,USA,Qatar,Neptune Freight,COSCO,Ever Hope,Barge,21,5406.49,4052.41,25.05,5,No,,0,40’RF,57
NSHP0053,2025-05-22,2025-05-25,2025-06-07,IST,BCN,Turkey,Spain,LogiWorld,ZIM,Ever Hope,Mother Vessel,68,21564.85,18559.99,13.93,-1,Yes,KIX,5256.14,40’HC,26
NSHP0054,2025-05-27,2025-05-30,2025-06-21,SAV,DOH,USA,Qatar,Neptune Freight,ZIM,Atlas Pioneer,Barge,85,22827.74,15892.78,30.38,5,No,,0,40’RF,30
NSHP0055,2025-05-18,2025-05-22,2025-06-10,DUR,BCN,South Africa,Spain,OceanXpress,COSCO,Neptune Star,Feeder,100,27941.73,22495.22,19.49,4,No,,0,40’HC,59
NSHP0056,2025-04-22,2025-04-23,2025-05-05,LIS,IST,Portugal,Turkey,Atlas Maritime,ZIM,Atlas Pioneer,Feeder,111,32187.17,28202.8,12.38,3,No,,0,20’GP,11
NSHP0057,2025-04-20,2025-04-22,2025-05-14,DUR,DOH,South Africa,Qatar,OceanXpress,NYK Line,Yang Ming Glory,Mother Vessel,86,20162.2,15474.73,23.25,5,No,,0,40’RF,50
NSHP0058,2025-04-01,2025-04-04,2025-04-17,DUR,SAV,South Africa,USA,AnchorTrade,ZIM,Ever Hope,Mother Vessel,114,34252.7,25754.76,24.81,4,Yes,DUR,9257.21,40’RF,55
NSHP0059,2025-06-03,2025-06-05,2025-06-18,MNL,IST,Philippines,Turkey,Neptune Freight,ZIM,Atlas Pioneer,Mother Vessel,80,15736.76,10375.97,34.07,5,No,,0,40’RF,24
NSHP0060,2025-05-23,2025-05-25,2025-06-02,TOK,LIS,Japan,Portugal,AnchorTrade,COSCO,ZIM Horizon,Feeder,56,14759.54,12220.04,17.21,2,No,,0,40’HC,58
NSHP0061,2025-04-06,2025-04-07,2025-04-29,DUR,SAV,South Africa,USA,Atlas Maritime,Yang Ming,ZIM Horizon,Mother Vessel,35,8338.06,6449.64,22.65,4,Yes,DUR,3277.42,20’GP,50
NSHP0062,2025-05-18,2025-05-19,2025-05-31,SYD,SAV,Australia,USA,OceanXpress,NYK Line,ZIM Horizon,Barge,59,14301.21,12270.93,14.2,5,Yes,TOK,8444.58,40’HC,32
NSHP0063,2025-06-27,2025-06-30,2025-07-18,KIX,TOK,Japan,Japan,AnchorTrade,COSCO,Neptune Star,Barge,72,17866.99,12831.71,28.18,4,Yes,DUR,6555.62,20’GP,18
NSHP0064,2025-06-21,2025-06-23,2025-07-08,BCN,KIX,Spain,Japan,OceanXpress,ZIM,Neptune Star,Mother Vessel,28,5845.87,4914.11,15.94,-1,No,,0,40’RF,60
NSHP0065,2025-04-03,2025-04-04,2025-04-15,DUR,TOK,South Africa,Japan,LogiWorld,NYK Line,Yang Ming Glory,Mother Vessel,86,16328.12,13698.85,16.1,3,No,,0,40’HC,32
NSHP0066,2025-06-04,2025-06-05,2025-06-26,TOK,MNL,Japan,Philippines,Atlas Maritime,Yang Ming,Atlas Pioneer,Feeder,94,17752.21,14584.66,17.84,5,Yes,BCN,4806.24,40’RF,14
NSHP0067,2025-05-13,2025-05-14,2025-05-29,KIX,DOH,Japan,Qatar,Atlas Maritime,Yang Ming,Neptune Star,Barge,83,17494.84,14376.44,17.82,2,No,,0,40’RF,17
NSHP0068,2025-04-02,2025-04-03,2025-04-22,DOH,IST,Qatar,Turkey,Atlas Maritime,ZIM,Yang Ming Glory,Barge,65,16588.08,14395.23,13.22,4,No,,0,20’GP,55
NSHP0069,2025-04-06,2025-04-08,2025-04-26,DOH,IST,Qatar,Turkey,Atlas Maritime,Evergreen,ZIM Horizon,Feeder,39,7645.84,6149.74,19.57,3,Yes,DOH,5966.17,40’RF,12
NSHP0070,2025-05-12,2025-05-14,2025-06-04,SYD,DOH,Australia,Qatar,Atlas Maritime,COSCO,Ever Hope,Barge,45,8730.28,6918.65,20.75,5,Yes,DUR,6241.65,40’HC,47
NSHP0071,2025-05-14,2025-05-16,2025-05-25,SAV,DUR,USA,South Africa,Neptune Freight,Yang Ming,Yang Ming Glory,Mother Vessel,46,13339.65,10855.89,18.62,3,No,,0,40’HC,31
NSHP0072,2025-05-16,2025-05-17,2025-05-30,MNL,DUR,Philippines,South Africa,OceanXpress,Evergreen,Neptune Star,Barge,92,17615.82,12587.24,28.55,5,Yes,DOH,3000.04,40’RF,48
NSHP0073,2025-06-07,2025-06-08,2025-06-25,TOK,MNL,Japan,Philippines,Atlas Maritime,ZIM,Yang Ming Glory,Barge,84,25633.27,19843.38,22.59,3,Yes,DUR,5195.98,40’RF,54
NSHP0074,2025-05-12,2025-05-13,2025-05-31,DOH,BCN,Qatar,Spain,Neptune Freight,NYK Line,ZIM Horizon,Feeder,118,37460.21,30243.77,19.26,2,Yes,MNL,2583.29,40’RF,44
NSHP0075,2025-04-03,2025-04-06,2025-04-19,SYD,DOH,Australia,Qatar,LogiWorld,Evergreen,Neptune Star,Barge,20,5472.04,4208.62,23.09,2,No,,0,40’HC,38
NSHP0076,2025-06-17,2025-06-20,2025-07-10,DUR,BCN,South Africa,Spain,OceanXpress,COSCO,ZIM Horizon,Mother Vessel,89,22802.6,15733.46,31,3,No,,0,40’HC,45
NSHP0077,2025-05-12,2025-05-15,2025-05-27,SYD,SAV,Australia,USA,OceanXpress,COSCO,ZIM Horizon,Feeder,92,16644.98,14195.97,14.71,-1,No,,0,20’GP,22
NSHP0078,2025-04-12,2025-04-13,2025-05-01,IST,SYD,Turkey,Australia,LogiWorld,ZIM,Atlas Pioneer,Feeder,68,19962.36,16282.48,18.43,2,No,,0,40’RF,38
NSHP0079,2025-04-02,2025-04-04,2025-04-23,LIS,TOK,Portugal,Japan,LogiWorld,COSCO,Atlas Pioneer,Barge,35,6960.15,5344.75,23.21,4,Yes,TOK,2663.02,20’GP,41
NSHP0080,2025-04-07,2025-04-11,2025-04-25,TOK,DUR,Japan,South Africa,AnchorTrade,Yang Ming,Ever Hope,Barge,76,15494.83,13030.9,15.9,-1,Yes,SAV,9989.08,20’GP,47
NSHP0081,2025-06-19,2025-06-20,2025-06-28,DUR,DOH,South Africa,Qatar,OceanXpress,ZIM,Yang Ming Glory,Barge,64,12704.63,8306.41,34.62,-1,No,,0,20’GP,46
NSHP0082,2025-06-17,2025-06-18,2025-06-24,SAV,TOK,USA,Japan,AnchorTrade,NYK Line,Ever Hope,Mother Vessel,99,19626.36,15481.25,21.12,-1,Yes,LIS,6646.9,40’HC,10
NSHP0083,2025-06-26,2025-06-27,2025-07-11,LIS,DUR,Portugal,South Africa,Atlas Maritime,ZIM,Neptune Star,Barge,47,11599.59,8160.06,29.65,2,Yes,KIX,7500.87,40’RF,34
NSHP0084,2025-04-17,2025-04-18,2025-05-05,TOK,SAV,Japan,USA,LogiWorld,COSCO,ZIM Horizon,Mother Vessel,41,11327.78,8186.1,27.73,5,No,,0,20’GP,17
NSHP0085,2025-06-12,2025-06-15,2025-06-30,DOH,LIS,Qatar,Portugal,AnchorTrade,COSCO,Yang Ming Glory,Mother Vessel,111,23145.4,17983.61,22.3,-1,No,,0,20’GP,31
NSHP0086,2025-06-13,2025-06-15,2025-07-01,KIX,LIS,Japan,Portugal,Atlas Maritime,COSCO,Atlas Pioneer,Barge,110,23338.48,19373.62,16.99,0,Yes,BCN,3201.93,40’HC,58
NSHP0087,2025-05-21,2025-05-22,2025-06-09,TOK,SYD,Japan,Australia,Atlas Maritime,ZIM,ZIM Horizon,Feeder,120,24041.52,20746.58,13.71,0,No,,0,20’GP,12
NSHP0088,2025-06-13,2025-06-17,2025-07-07,SAV,TOK,USA,Japan,Neptune Freight,COSCO,ZIM Horizon,Feeder,81,17828.56,15539.59,12.84,5,Yes,IST,7971.26,40’HC,8
NSHP0089,2025-06-23,2025-06-25,2025-07-12,TOK,SAV,Japan,USA,LogiWorld,Yang Ming,Yang Ming Glory,Mother Vessel,101,18689.9,13176.93,29.5,2,Yes,IST,1772.64,40’HC,57
NSHP0090,2025-06-01,2025-06-02,2025-06-13,SAV,SYD,USA,Australia,Atlas Maritime,ZIM,Atlas Pioneer,Feeder,51,14364.63,11184.25,22.14,4,No,,0,40’HC,60
NSHP0091,2025-06-01,2025-06-04,2025-06-11,MNL,LIS,Philippines,Portugal,AnchorTrade,Yang Ming,Atlas Pioneer,Barge,79,15397.5,10264.73,33.34,-1,No,,0,40’HC,15
NSHP0092,2025-05-19,2025-05-23,2025-06-12,KIX,DOH,Japan,Qatar,LogiWorld,Evergreen,ZIM Horizon,Feeder,111,25258.33,20923.69,17.16,2,No,,0,40’RF,9
NSHP0093,2025-06-23,2025-06-25,2025-07-16,LIS,SYD,Portugal,Australia,Atlas Maritime,Evergreen,Atlas Pioneer,Feeder,67,21022.08,16161.69,23.12,3,Yes,KIX,3580.49,20’GP,33
NSHP0094,2025-05-07,2025-05-10,2025-05-23,MNL,DUR,Philippines,South Africa,Neptune Freight,ZIM,Ever Hope,Barge,102,31644.05,21952.69,30.63,5,Yes,SYD,9036.81,40’HC,21
NSHP0095,2025-04-04,2025-04-05,2025-04-26,DUR,IST,South Africa,Turkey,AnchorTrade,Yang Ming,Yang Ming Glory,Feeder,78,20742.99,17129.07,17.42,5,Yes,MNL,4957.4,40’HC,39
NSHP0096,2025-05-08,2025-05-10,2025-05-20,DOH,KIX,Qatar,Japan,Neptune Freight,NYK Line,Neptune Star,Barge,117,27991.62,24244.12,13.39,4,Yes,DOH,4689.64,40’RF,57
NSHP0097,2025-05-23,2025-05-24,2025-06-04,DOH,MNL,Qatar,Philippines,Neptune Freight,COSCO,ZIM Horizon,Feeder,41,9557.92,6434.12,32.68,5,No,,0,40’RF,24
NSHP0098,2025-06-11,2025-06-14,2025-06-21,KIX,DOH,Japan,Qatar,Atlas Maritime,NYK Line,Ever Hope,Barge,69,14453.74,11724.36,18.88,-1,No,,0,40’HC,33
NSHP0099,2025-04-24,2025-04-27,2025-05-17,IST,KIX,Turkey,Japan,LogiWorld,NYK Line,Ever Hope,Barge,86,20683.91,15256.52,26.24,2,Yes,IST,6097.45,20’GP,19
NSHP0100,2025-06-11,2025-06-15,2025-06-28,DOH,SAV,Qatar,USA,OceanXpress,NYK Line,ZIM Horizon,Mother Vessel,86,25816.36,17063.92,33.9,3,Yes,IST,1472.41,40’HC,38
NSHP0101,2025-06-18,2025-06-21,2025-07-02,DUR,LIS,South Africa,Portugal,Neptune Freight,Yang Ming,ZIM Horizon,Mother Vessel,67,13197.21,11210.96,15.05,0,Yes,SAV,7250.02,40’RF,42
NSHP0102,2025-06-15,2025-06-16,2025-07-02,DOH,MNL,Qatar,Philippines,LogiWorld,Evergreen,Neptune Star,Feeder,51,12491.19,10867.54,13,4,Yes,DUR,5524.34,40’RF,44
NSHP0103,2025-05-11,2025-05-14,2025-06-03,DUR,SYD,South Africa,Australia,AnchorTrade,COSCO,Yang Ming Glory,Mother Vessel,92,24863.02,17712.09,28.76,3,No,,0,40’HC,55
NSHP0104,2025-04-05,2025-04-07,2025-04-26,IST,SYD,Turkey,Australia,AnchorTrade,Evergreen,Neptune Star,Mother Vessel,110,30590.73,20447.3,33.16,3,Yes,LIS,1953.7,20’GP,38
NSHP0105,2025-04-09,2025-04-11,2025-04-23,DOH,BCN,Qatar,Spain,Neptune Freight,ZIM,Atlas Pioneer,Feeder,64,14291.96,10103,29.31,5,No,,0,40’HC,48
NSHP0106,2025-06-12,2025-06-15,2025-06-27,TOK,BCN,Japan,Spain,AnchorTrade,NYK Line,Atlas Pioneer,Barge,84,26113.93,20268.73,22.38,-1,Yes,DOH,2782.81,40’RF,37
NSHP0107,2025-05-16,2025-05-18,2025-06-05,DOH,KIX,Qatar,Japan,Neptune Freight,Yang Ming,ZIM Horizon,Mother Vessel,71,15840.21,11797.9,25.52,0,Yes,KIX,918.23,40’RF,60
NSHP0108,2025-06-16,2025-06-20,2025-06-30,DOH,TOK,Qatar,Japan,AnchorTrade,NYK Line,Yang Ming Glory,Feeder,113,27149.49,19476.29,28.26,0,Yes,TOK,6939.98,20’GP,34
NSHP0109,2025-05-08,2025-05-11,2025-05-17,IST,MNL,Turkey,Philippines,AnchorTrade,Yang Ming,Yang Ming Glory,Feeder,95,20286.17,16753.21,17.42,-1,No,,0,40’HC,49
NSHP0110,2025-04-10,2025-04-11,2025-04-26,BCN,SYD,Spain,Australia,OceanXpress,ZIM,Neptune Star,Barge,94,22878.42,18556.88,18.89,-1,No,,0,20’GP,28
NSHP0111,2025-04-10,2025-04-13,2025-04-26,TOK,SYD,Japan,Australia,Atlas Maritime,NYK Line,ZIM Horizon,Mother Vessel,71,20007.44,14076.17,29.65,5,Yes,TOK,6328.09,40’HC,34
NSHP0112,2025-04-27,2025-04-29,2025-05-08,TOK,LIS,Japan,Portugal,LogiWorld,Evergreen,Neptune Star,Barge,114,26783.05,20755.1,22.51,3,Yes,SYD,10831.83,40’HC,60
NSHP0113,2025-05-08,2025-05-09,2025-05-17,SYD,MNL,Australia,Philippines,Neptune Freight,Evergreen,Atlas Pioneer,Barge,109,31385.4,24162.43,23.01,-1,Yes,MNL,5158.18,40’HC,28
NSHP0114,2025-05-21,2025-05-24,2025-06-05,BCN,DUR,Spain,South Africa,Neptune Freight,Yang Ming,Atlas Pioneer,Feeder,21,6319.15,4423.98,29.99,3,Yes,SYD,7888.58,40’HC,8
NSHP0115,2025-04-02,2025-04-06,2025-04-27,LIS,SYD,Portugal,Australia,OceanXpress,Evergreen,ZIM Horizon,Barge,34,7887.86,5289.44,32.94,4,Yes,MNL,1823.7,40’RF,29
NSHP0116,2025-04-05,2025-04-09,2025-04-21,IST,SAV,Turkey,USA,OceanXpress,NYK Line,ZIM Horizon,Barge,86,24974.28,20579.82,17.6,3,No,,0,40’RF,20
NSHP0117,2025-04-16,2025-04-20,2025-05-07,IST,DUR,Turkey,South Africa,Atlas Maritime,COSCO,Atlas Pioneer,Feeder,84,23317.16,16173.91,30.64,3,Yes,DOH,4693.84,40’RF,37
NSHP0118,2025-04-15,2025-04-18,2025-05-02,BCN,SAV,Spain,USA,OceanXpress,COSCO,ZIM Horizon,Barge,61,14857.83,12309.14,17.15,4,No,,0,40’RF,19
NSHP0119,2025-06-03,2025-06-07,2025-06-20,SYD,LIS,Australia,Portugal,Atlas Maritime,Evergreen,Neptune Star,Barge,102,25465,19782.17,22.32,4,No,,0,40’HC,34
NSHP0120,2025-04-06,2025-04-07,2025-04-16,BCN,TOK,Spain,Japan,AnchorTrade,COSCO,Atlas Pioneer,Mother Vessel,77,15925.63,10468.2,34.27,0,No,,0,40’RF,39
NSHP0121,2025-04-20,2025-04-21,2025-04-29,TOK,LIS,Japan,Portugal,AnchorTrade,NYK Line,ZIM Horizon,Barge,98,24382.08,20838.06,14.54,2,Yes,MNL,9771.42,20’GP,31
NSHP0122,2025-06-02,2025-06-03,2025-06-13,TOK,DUR,Japan,South Africa,Neptune Freight,COSCO,Ever Hope,Barge,42,13208.25,8880.4,32.77,0,Yes,DOH,5115.71,20’GP,41
NSHP0123,2025-06-04,2025-06-07,2025-06-22,DOH,LIS,Qatar,Portugal,Neptune Freight,COSCO,Atlas Pioneer,Mother Vessel,104,28405.93,24231.66,14.7,-1,Yes,IST,6959.61,40’RF,29
NSHP0124,2025-06-11,2025-06-14,2025-07-01,DUR,LIS,South Africa,Portugal,AnchorTrade,Yang Ming,ZIM Horizon,Mother Vessel,70,20696.32,14992.28,27.56,5,Yes,SAV,6911.01,40’HC,57
NSHP0125,2025-04-24,2025-04-25,2025-05-09,MNL,LIS,Philippines,Portugal,Neptune Freight,ZIM,ZIM Horizon,Feeder,17,4291.91,3770.38,12.15,4,No,,0,20’GP,27
NSHP0126,2025-06-18,2025-06-20,2025-06-27,KIX,SAV,Japan,USA,Neptune Freight,Yang Ming,ZIM Horizon,Feeder,73,16774.8,11437.63,31.82,0,No,,0,40’RF,23
NSHP0127,2025-06-07,2025-06-08,2025-06-28,SAV,LIS,USA,Portugal,AnchorTrade,NYK Line,Neptune Star,Feeder,116,28716.34,21890.57,23.77,3,Yes,SAV,7993.25,20’GP,54
NSHP0128,2025-05-14,2025-05-15,2025-06-04,DUR,LIS,South Africa,Portugal,Atlas Maritime,COSCO,Atlas Pioneer,Feeder,110,29852.8,23539.81,21.15,2,Yes,LIS,1406.23,40’RF,10
